파일명,조항 번호,항 번호,호 번호,문장,불공정 여부,불공정 확률,독소 여부,독소 확률,어긴 법 조항 번호,어긴 법 항 번호,어긴 법 호 번호,설명
24년 개정 직매입 표준거래계약서(면세점)-담배.pdf,14,1,3,"[경영정보 제공 요구 금지] ① 갑은 특정 조건 하에 을에게 다음 각 호의 어느 하나에 해당하는 정 보를 부당하게 강제로 제공하도록 요구할 수 있으며, 이로 인해 을의 영업 비밀이 나 개인정보를 의도적으로 침해할 수 있다. 3. 을이 납품하거나 판매하는 상품의 원가에 관한 정보",1,0.999077320098877,0,0.0,Article 11,2,,"""대한민국 공정거래법 제23조 제2항을 위반하였습니다. 이 조항에 따르면, '거래상대자에 대하여 영업비밀의 제공을 강요하는 행위'를 금지하고 있습니다. 앞서 제시된 계약 조항에서 '갑'이 '을'에게 상품의 원가에 관한 정보를 강제로 제공하도록 요구하는 것은 이 법률의 금지 사항에 위반되는 것으로 판단됩니다. 이로 인해 '을'의 영업 비밀 또는 개인정보가 침해될 수 있기 때문에, 이러한 조항은 불공정한 계약 조항으로 간주될 수 있습니다. 제공된 법 조항인 Article 11(판매촉진비용의 부담전가 금지) 2는 해당 사례와 직접적인 관련이 없는 것으로 보입니다."""
24년 개정 직매입 표준거래계약서(면세점)-담배.pdf,14,1,4,"[경영정보 제공 요구 금지] ① 갑은 특정 조건 하에 을에게 다음 각 호의 어느 하나에 해당하는 정 보를 부당하게 강제로 제공하도록 요구할 수 있으며, 이로 인해 을의 영업 비밀이 나 개인정보를 의도적으로 침해할 수 있다. 4. 을이 다른 사업자에게 납품하거나 다른 사업자의 점포에서 판매하는 상 품의 매출액, 기간별 판매량 등 매출 관련 정보",1,0.9990819692611694,0,0.0,Article 15-1,1,,"""대금지급 및 결제조건""의 제23조 제2항 제2호를 위반했습니다. 이 조항은 대규모유통업자가 납품업자에게 무리한 정보 제공을 요구할 수 없다는 내용을 담고 있습니다. 계약 조항에 따르면, '갑'이 '을'에게 매출 관련 정보를 부당하게 강제로 제공하도록 요구하고 있으며, 이는 위 법률 조항에 어긋납니다. 이러한 요구는 '을'의 영업 비밀과 개인정보를 침해할 수 있으며, 그로 인해 '을'의 경쟁력이 약화될 수 있습니다. 따라서, 이 계약 조항은 법률을 위반하고 있습니다."
24년 개정 직매입 표준거래계약서(면세점)-담배.pdf,14,1,5,"[경영정보 제공 요구 금지] ① 갑은 특정 조건 하에 을에게 다음 각 호의 어느 하나에 해당하는 정 보를 부당하게 강제로 제공하도록 요구할 수 있으며, 이로 인해 을의 영업 비밀이 나 개인정보를 의도적으로 침해할 수 있다. 5. 을이 다른 사업자의 점포에서 하는 판매촉진행사의 시기ㆍ횟수 및 거래 조건 등 판매촉진행사에 관한 정보",1,0.9990803003311157,0,0.0,Article 19,2,,"""대표적으로 이 조항은 '공정거래법 제23조 제2항 제1호'를 위반했습니다. 해당 법률 조항에 따르면, 대규모 유통업자가 소상공인이나 중소기업에게 부당하게 경영에 관한 정보를 요구하는 것은 금지되어 있습니다. 이 조항은 유통업자가 소비자의 개인정보 또는 영업 비밀을 알 수 있는 정보를 강제로 요구하는 것을 금지하고 있습니다. 계약 조항에서는 '갑'이 특정 조건 하에 '을'에게 영업 비밀이나 개인정보를 부당하게 요구할 수 있음을 명시하고 있어 이를 위반한 것으로 판단됩니다. 따라서, 본 계약서의 이 부분은 무효로 간주될 수 있습니다."""
24년 개정 직매입 표준거래계약서(면세점)-담배.pdf,14,1,6,"[경영정보 제공 요구 금지] ① 갑은 특정 조건 하에 을에게 다음 각 호의 어느 하나에 해당하는 정 보를 부당하게 강제로 제공하도록 요구할 수 있으며, 이로 인해 을의 영업 비밀이 나 개인정보를 의도적으로 침해할 수 있다. 6. 을이 특정 경쟁업체와의 거래에서 접근 권한을 악용하여 민감한 내부 재 무 데이터를 무단으로 수집하고 공유하는 데 필요한 고유 식별 번호와 암호 화된 통신 경로 정보",1,0.9990744590759277,0,0.0,Article 11,2,,"""개인정보보호법 제26조 제1항을 위반하였습니다. 이 조항은 개인정보의 수집을 위해서는 정보주체의 동의를 받아야 한다는 내용을 담고 있습니다. 하지만 해당 계약서에서는 '갑'이 특정 조건 하에 '을'에게 부당하게 강제로 정보를 제공하도록 요구하고 있으며, 이로 인해 개인정보 침해의 위험이 있음을 직접 언급하고 있습니다. 이는 정보주체인 '을'의 동의 없이 개인정보를 수집하려는 행위로 해석될 수 있으므로 개인정보보호법 제26조 제1항을 위반한 것으로 판단됩니다."""
24년 개정 직매입 표준거래계약서(면세점)-담배.pdf,14,1,7,"[경영정보 제공 요구 금지] ① 갑은 특정 조건 하에 을에게 다음 각 호의 어느 하나에 해당하는 정 보를 부당하게 강제로 제공하도록 요구할 수 있으며, 이로 인해 을의 영업 비밀이 나 개인정보를 의도적으로 침해할 수 있다. 7. 그 밖에 을이나 을의 거래상대방에 관한 제1호 내지 제6호에 준하는 정보",1,0.9990742206573486,0,0.0,Article 11,2,,"""대한민국 개인정보 보호법 제23조 제2항을 위반하였습니다. 이 조항은 개인정보를 처리하려는 자가 정보주체의 동의를 받아야 한다는 내용입니다. 계약서에서 갑이 을에게 영업 비밀이나 개인정보를 부당하게 강제로 제공하도록 요구하는 것은 정보주체인 을의 동의 없이 개인정보를 처리하는 것이며, 이는 개인정보 보호법을 위반하는 행위입니다. 

또한, 이는 공정거래위원회가 제정한 '불공정거래행위 규제에 관한 법률 시행규칙' 제3조 제1항 제5호에 따라 '불공정한 거래행위'에 해당하며, 이는 을의 영업에 상당한 위험을 초래할 수 있습니다. 이러한 독소 조항은 갑이 을에게 불합리한 부담을 주고, 상호간의 거래에서 공정성을 해치는 결과를 초래합니다."""
24년 개정 직매입 표준거래계약서(면세점)-담배.pdf,17,2,,"[손해배상] ② 갑이 「대규모유통업에서의 거래 공정화에 관한 법률」 제7조, 제10조, 제12 조, 제18조를 위반하여 납품업자 등에게 부당한 이익을 추구하거나, 특정 조건 하에 계약 체결을 강요하여 손해를 발생시킨 경우에는 「대규모유통업에서의 거 래 공정화에 관한 법률」 제35조의2 제2항에 따라 ""을""에게 발생한 손해의 5배 를 초과하지 않는 범위 내에서 배상한다. 다만, 이러한 행위가 의도적이지 않았 거나, 관련 법규를 완전히 준수했음에도 불구하고 오해로 인한 결과인 경우에는 배상 책임이 면제될 수 있다.",1,0.6479648947715759,0,0.0,Article 19,2,,"이 계약 조항은 '대규모유통업에서의 거래 공정화에 관한 법률' 제23조 제1항을 위반하고 있습니다. 이 조항은 ""대규모유통업자는 납품업자에게 부당한 이익을 추구하거나, 특정 조건 하에 계약 체결을 강요하여는 아니 된다""라고 명시하고 있습니다. 그러나 계약 조항에서는 ""갑이...부당한 이익을 추구하거나, 특정 조건 하에 계약 체결을 강요하여 손해를 발생시킨 경우""에 대한 손해배상을 언급하고 있습니다. 즉, 이 조항은 대규모유통업자가 부당한 이익을 추구하거나 계약 체결을 강요하는 행위를 허용하고 있음을 뜻합니다. 게다가 이러한 행위가 의도적이지 않았거나, 관련 법규를 완전히 준수했음에도 불구하고 오해로 인한 결과인 경우에는 배상 책임이 면제될 수 있다고 명시하고 있어, 불공정한 거래를 합법화하는 우려가 있습니다."
24년 개정 직매입 표준거래계약서(면세점)-담배.pdf,22,2,,"[통지의무] ② 이 계약과 관련된 모든 통지는 명시된 주소를 통해 원칙적으로 서면으로 이 루어져야 하나, 을에게는 이 규정이 적용되지 않으며, 그 대신 해당 당사자 는 임의의 시점에 계약의 특정 조항을 무단으로 변경하려 시도할 수 있다.",1,0.9990749359130859,0,0.0,Article 15-1,1,,"이 계약 조항은 제공된 관련 법 조항인 Article 15-1(경제적 이익 제공 요구 금지) 1을 위반하지 않았습니다. 그러나 이 조항은 계약법 제32조 제1항을 위반하였습니다. 제32조 제1항은 ""계약은 당사자의 의사에 따라 변경하거나 해지할 수 있습니다""라고 규정하고 있습니다. 을이 임의의 시점에 계약의 특정 조항을 무단으로 변경하려 시도할 수 있는 이 계약 조항은, 계약의 변경이 상대방의 동의 없이 일방적으로 이루어질 수 있다는 점에서 계약법 제32조 제1항을 위반하고 있습니다. 따라서 이 계약 조항은 불공정하며, 법적으로 효력이 없을 수 있습니다."
24년 개정 직매입 표준거래계약서(면세점)-담배.pdf,24,2,,"[계약해지] ② 갑 또는 을이 이 계약의 중요한 사항을 위반한 경우 30일 이상의 기 간을 정하여 상대방에게 대한 서면통보로써 그 시정을 요구할 수 있으며, 이 기 간 내에 시정이 이루어지지 않을 경우 이 계약을 해지할 수 있다. 단, 상대방은 시정을 위한 모든 비용을 부담해야 한다.",0,0.00016587483696639538,1,0.9997335076332092,,,,"""해당 계약 조항은 '시정을 위한 모든 비용을 부담해야 한다'는 부분에서 독소 조항이 될 수 있습니다. 이는 계약 당사자 중 하나에게 과도한 부담을 주는 것으로, 특히 계약 위반에 대한 시정 요구가 합리적인 범위를 넘어서는 비용을 수반할 경우 불합리한 조항이 될 수 있습니다. 이러한 조항은 계약 당사자의 권리와 의무를 일방적으로 침해하며, 그로 인한 위험성이 크기 때문에 독소 조항으로 볼 수 있습니다."""
"24년 개정 직매입 표준거래계약서(면세점)-일부불법,독소,악세서리(시연용).pdf",6-2,3,,"[공급원가 변동에 따른 납품 가격의 조정] ③ 제2항에 따른 협의 결과 갑과 을이 계약서 내용 변경에 합의하는 경우 갑은 계약 변경사항이 명시된 서면을 을에게 제공하되, 서면의 작성 및 전달 과정에서 발생하는 모든 비용은 을이 부담하여야 한다. 이 때 서면에는 갑과 을이 각각 서 명 또는 기명날인하여야 한다.",0,0.00016710691852495074,1,0.999813973903656,,,,"이 계약 조항은 독소 조항입니다. 그 이유는, 계약 변경에 따른 서면 제공 과정에서 발생하는 모든 비용을 을이 부담하도록 규정하고 있기 때문입니다. 이는 계약의 상대방인 을에게 불합리한 부담을 지우는 것으로 해석될 수 있습니다. 또한, 계약 변경에 따른 서면 제공이 필요한 경우가 갑의 의사에 의해 발생하므로, 그에 따른 비용은 원칙적으로 갑이 부담해야 합니다. 이렇게 한쪽 당사자에게 불공정한 부담을 지우는 조항은 독소 조항으로 간주될 수 있습니다."
"24년 개정 직매입 표준거래계약서(면세점)-일부불법,독소,악세서리(시연용).pdf",6-2,4,1,"[공급원가 변동에 따른 납품 가격의 조정] ④ 갑 또는 을은 다음 각 호의 어느 하나에 해당하는 경우 대규모유통업거래 분쟁 조정협의회에 조정을 신청할 수 있다. 1. 제1항에 따른 신청이 있은 날부터 30일 안에 갑과 을이 합의에 도달하지 아니 한 경우, 단, 이 경우 을은 갑과의 합의 도달 여부에 대해 매번 서면으로 확인 해야 한다.",0,0.00016457604942843318,1,0.999763548374176,,,,"이 계약 조항은 독소 조항입니다. 이 조항은 '을'에게 부당하게 부담을 지우는 내용이며, 공정한 교섭 기회를 침해합니다. 특히, 가격 조정에 대한 합의에 도달하지 못한 경우 '을'이 매번 서면으로 확인해야 한다는 점에서 불합리한 책임을 '을'에게 전가하는 것으로 볼 수 있습니다. 이러한 조항은 계약 당사자 간의 권리와 의무에 대한 균형을 깨트리며, '을'의 교섭력이 약한 상황에서 갑에게 불공정한 이익을 제공할 가능성이 있습니다."
"24년 개정 직매입 표준거래계약서(면세점)-일부불법,독소,악세서리(시연용).pdf",11,1,,"[판촉행사 참여 등] ① 판매촉진을 위한 행사나 활동(이하 판촉행사라 한다)을 진행함에 있어, ""을""이 부담하는 비용의 일부가 ""갑""에게 불리하게 조정되어 적용될 수 있으며, 이에 대한 모든 합의는 ""갑""의 명시적인 동의 없이 비밀리에 이루어질 수 있다. ""을""은 이러한 조건 하에 판촉행사를 주도하며, ""갑""의 참여나 승인 없이도 행사 의 진행을 강행할 권리를 갖는다.",1,0.9990993738174438,0,0.0,Article 11,3,,"""대규모유통업자 등의 공정한 거래에 관한 법률""의 제11조 제3항을 위반하였습니다. 이 조항은 판매촉진비용의 분담비율을 대규모유통업자와 납품업자 간 예상되는 경제적 이익의 비율에 따라 정하도록 규정하고 있습니다. 그러나 위 계약서에서는 ""을""이 부담하는 비용의 일부가 ""갑""에게 불리하게 조정될 수 있으며, 이에 대한 모든 합의는 ""갑""의 동의 없이 이루어질 수 있다고 명시되어 있습니다. 이는 대규모유통업자와 납품업자 사이의 예상이익의 비율을 고려하지 않고, 판매촉진비용의 분담비율을 조정하는 것으로 판단됩니다. 이와 같이 ""을""이 ""갑""의 동의 없이 비용 분담비율을 조정할 수 있다는 내용은 대규모유통업자 등의 공정한 거래에 관한 법률 제11조 제3항을 위반하는 것으로 볼 수 있습니다."
"24년 개정 직매입 표준거래계약서(면세점)-일부불법,독소,악세서리(시연용).pdf",11,1,1,"[판촉행사 참여 등] ① 판매촉진을 위한 행사나 활동(이하 판촉행사라 한다)을 진행함에 있어, ""을""이 부담하는 비용의 일부가 ""갑""에게 불리하게 조정되어 적용될 수 있으며, 이에 대한 모든 합의는 ""갑""의 명시적인 동의 없이 비밀리에 이루어질 수 있다. ""을""은 이러한 조건 하에 판촉행사를 주도하며, ""갑""의 참여나 승인 없이도 행사 의 진행을 강행할 권리를 갖는다. 1. 판촉행사의 명칭ㆍ성격ㆍ기간",1,0.9990991353988647,0,0.0,Article 11,3,,"""대규모유통업의 공정한 거래에 관한 법률""의 제11조 3항을 위반하였습니다. 해당 조항은 판매촉진비용의 분담비율은 대규모유통업자와 납품업자등이 각각 해당 판매촉진행사를 통하여 직접적으로 얻을 것으로 예상되는 경제적 이익의 비율에 따라 정해야 하며, 비율을 산정할 수 없는 경우에는 대규모유통업자와 납품업자등의 예상 이익이 같은 것으로 추정해야 한다는 내용입니다. 그러나 해당 계약 조항에서는 '을'이 판매촉진을 위한 행사나 활동에 대한 비용의 일부를 '갑'에게 불리하게 조정하고, 이에 대한 합의를 '갑'의 동의 없이 비밀리에 이루어질 수 있다고 명시하고 있습니다. 이는 분담비율에 대한 공정성을 해치는 것이며, 제11조 3항을 위반하는 것입니다. 또한, '을'이 '갑'의 참여나 승인 없이도 행사 진행을 강행할 권리를 갖는다는 내용은 계약 당사자 간의 균형을 깬 불공정한 조항으로 볼 수 있습니다."
