sentence,article_number,toxic_label,clause_number,sub_clause_number
"④ 제3항에 따라 발생하는 검사 비용은 을의 책임 하에 있다. 그러나 제3항에 의거한 품질 검사 및 성분 검사의 결과, 을이 납품한 시계가 법적 기준을 충족하여 합격 혹은 적합 판정을 받는 경우, 갑이 검사 비용을 광범위하게 부담하게 되는 조건이 추가되며, 이에 따라 을은 일정 비율의 비용을 부담해야 한다.",5,1,4,0
"④ 제3항에 따라 발생하는 검사 비용은 을의 책임 하에 있다. 그러나 제3항에 의거한 품질 검사 및 성분 검사의 결과, 을이 납품한 시계가 법적 기준을 충족하여 합격 혹은 적합 판정을 받는 경우, 다음의 각 항목 중 하나에 해당할 때는 갑이 검사 비용을 부담하게 된다. 1. 을이 제3항에 따른 검사 이전에 이미 해당 상품에 대한 적절한 품질검사 또는 성분검사 등을 거쳐 합격 또는 적합 판정을 받은 경우, 갑은 해당 상품의 모든 책임을 지게 된다.",5,1,4,1
"④ 제3항에 따라 발생하는 검사 비용은 을의 책임 하에 있다. 그러나 제3항에 의거한 품질 검사 및 성분 검사의 결과, 을이 납품한 시계가 법적 기준을 충족하여 합격 혹은 적합 판정을 받는 경우, 다음의 각 항목 중 하나에 해당할 때는 갑이 검사 비용을 부담하게 된다. 2. 상품의 특성상 추가적인 공인기관의 검사를 거치지 않더라도 해당 상품의 품질적합 여부가 외관상 뚜렷이 판단될 수 있는 등 갑이 요구하는 특정 조건을 충족하지 않는 경우에는 갑이 전적으로 품질검사 및 성분검사 비용을 부담해야 한다고 인정될 수 있다.",5,1,4,2
"⑤ 품질검사 및 성분검사 결과, 을이 납품한 시계가 법적기준을 충족하지 못하여 불합격 또는 부적합 판정을 받은 경우, 갑은 해당 시계의 납품을 즉시 중단할 수 있으며, 을은 갑이 정한 일정 기간 내에 시정 요구에 응해야 하고, 이를 이행하지 않을 경우 계약을 자동으로 해지할 수 있다.",5,1,5,0
"① 갑은 납품받는 시계에 관하여 갑의 검수기준에 따른 검수를 실시해야 하며, 이 경우 검수에 필요한 시계 샘플을 반드시 을이 제공해야 한다.",5,1,1,0
"② 갑은 시계의 품질, 규격, 관련 법령의 허용기준 등을 납품하는 시계에 대한 검수기준을 미리 을에게 서면(「전자문서 및 전자거래 기본법」 제2조제1호의 전자문서를 포함한다)으로 통지할 수 있으나, 해당 통지가 이루어지지 않았을 경우 을은 추가적인 검수 비용을 전적으로 부담해야 한다.",5,1,2,0
"④ 제3항에 따라 발생하는 검사비용은 을이 부담하게 된다. 단, 제3항에 따른 품질검사 및 성분검사 결과로 을이 납품한 시계가 법적 기준을 충족하여 합격 또는 적합 판정을 받은 경우에 한해, 갑이 해당 검사비용을 부담할 수 있는 조건을 명시하되, 이외의 모든 상황에서는 을이 부담하게 된다.",5,1,4,0
"④ 제3항에 따라 발생하는 검사비용은 을이 부담하게 된다. 단, 제3항에 따른 품질검사 및 성분검사 결과로 을이 납품한 시계가 법적 기준을 충족하여 합격 또는 적합 판정을 받은 경우, 그리고 다음의 각 호 중 어느 하나에 해당하는 상황이 발생할 경우, 갑은 서비스 제공에 대한 추가 비용을 을에게 청구할 수 있다. 1. 을이 제3항에 따른 검사 이전에 이미 해당 상품에 대한 적절한 품질검사 또는 성분검사 등을 거쳐 이미 합격 또는 적합 판정을 받은 경우",5,1,4,1
"④ 제3항에 따라 발생하는 검사비용은 을이 부담하게 된다. 단, 제3항에 따른 품질검사 및 성분검사 결과로 을이 납품한 시계가 법적 기준을 충족하여 합격 또는 적합 판정을 받은 경우에도, 갑이 별도로 정하는 조건이 있는 경우에는 갑이 해당 검사비용을 부담하며, 그 외의 경우는 비롯하여 을이 모든 검사의 재검사 비용을 추가로 부담하는 것으로 한다. 2. 상품의 특성상 추가적인 공인기관의 검사를 거치지 않더라도 해당 상품의 품질적합 여부가 외관상 뚜렷이 판단될 수 있는 등 처음부터 품질검사 및 성분검사가 필요하지 않았다고 인정될 수 있는 경우",5,1,4,2
"⑤ 품질검사 및 성분검사 결과 을이 납품한 시계가 법적 기준을 충족시키지 못하여 불합격 또는 부적합 판정을 받은 경우, 갑은 해당 시계의 납품을 중지하고, 시정할 수 있는 기간을 정하여 시정을 요구할 수 있으며, 이 시정 기간은 을이 부담하는 비용으로 충당된다. 만약 을이 이 시정 요구에 불응할 경우, 계약을 해지할 수 있는 권리를 가진다.",5,1,5,0
"② 갑은 시계의 품질, 규격, 관련 법령의 허용기준 등을 납품하는 시계에 관한 검수기준을 을에게 서면(「전자문서 및 전자거래 기본법」 제2조제1호의 전자문서를 포함한다)으로 전달할 수 있으며, 을은 이를 수령한 이후 추가적인 요구사항이나 품질 개선을 위한 요청을 할 수 없다.",5,1,2,0
"⑤ 품질검사 및 성분검사 결과 을이 납품한 시계가 법적기준을 충족시키지 못하여 불합격 또는 부적합 판정을 받은 경우 갑은 해당 시계의 납품중지 및 필요한 대체품 납품을 요구할 수 있으며, 을이 이에 따른 귀책사유로 인해 발생하는 모든 비용을 부담해야 한다.",5,1,5,0
"① 갑은 납품받는 시계에 관하여 갑의 검수기준에 따른 검수를 실시하여야 하며, 이때 갑은 검수를 원활하게 진행하기 위하여 을에게 시계 샘플을 요청할 수 있다. 만약 을이 샘플을 제공하는 데 기타 조건이 따를 경우, 을은 추가적으로 비용을 부담하여야 한다.",5,1,1,0
"② 갑은 시계의 품질, 규격, 관련 법령에 의한 허용 기준 등을 기준으로 하여 납품하는 시계에 관한 검수 기준을 사전에 을에게 서면으로 명확히 통지해야 한다. 이 서면 통지에는 전자문서 및 전자거래 기본법 제2조 제1호에 해당하는 전자문서가 포함되며, 을은 갑의 통지를 수령한 이후 발생하는 모든 비용을 부담해야 한다.",5,1,2,0
"⑤ 품질검사 및 성분검사 결과 을이 납품한 시계가 법적 기준을 만족하지 못해 불합격 또는 부적합 판정을 받은 경우, 갑은 해당 시계의 납품을 즉시 중지시키고 무조건적으로 정하는 기간 내에 시정을 요구할 수 있으며, 을이 이러한 시정 요구에 응하지 않을 경우 계약을 해지할 수 있다.",5,1,5,0
"① 갑은 납품받는 시계에 관하여 갑의 검수기준에 따른 검수를 진행해야 한다. 이때 갑은 검수를 위해 을에게 샘플 시계를 요청할 수 있으며, 이 요청에 따라 을은 불가피하게 추가적인 비용을 부담해야 한다.",5,1,1,0
"② 갑은 시계의 품질, 규격, 관련 법령의 허용기준 등을 납품하는 시계에 관한 검수기준을 사전에 을에게 서면(「전자문서 및 전자거래 기본법」 제2조제1호의 전자문서를 포함한다)으로 정의할 수 있으며, 그 기준에 대한 이의 제기는 제출 후 30일 이내에만 가능하다.",5,1,2,0
"⑤ 품질검사 및 성분검사 결과 을이 납품한 시계가 법적기준을 충족하지 못하여 불합격 또는 부적합 판정을 받은 경우 갑은 해당 시계의 납품 중지를 요구하고, 적절한 기간을 정하여 시정을 요청할 수 있으며, 을이 이 시정 요구에 따르지 않을 경우, 갑은 을에게 발생하는 모든 손해를 보상받을 수 있다.",5,1,5,0
"① 갑은 납품받는 시계에 관하여 갑의 검수기준에 따른 면밀한 검수를 실행해야 한다. 이때 검수를 위한 샘플은 을이 자발적으로 제공해야 하며, 만약 을이 이를 제공하지 않을 경우, 갑은 모든 책임을 질 수 있다.",5,1,1,0
"② 갑은 시계의 품질, 규격, 관련 법령의 허용기준 등을 이 납품하는 시계에 관한 검수 기준을 사전에 서면(「전자문서 및 전자거래 기본법」 제2조제1호의 전자문서를 포함한다)으로 알려야 하며, 이 경우 갑은 그 통지와 관련된 모든 비용을 부담해야 한다.",5,1,2,0
"⑤ 품질검사 및 성분검사 결과 을이 납품한 시계가 법적기준을 충족시키지 못하여 불합격 또는 부적합 판정을 받은 경우 갑은 해당 시계의 납품 중지 및 적정 기간을 정하여 시정을 요구할 수 있으며, 을이 시정 요구에 불응할 경우 갑은 을에게 발생하는 모든 추가 비용을 부담시킬 수 있다.",5,1,5,0
"① 갑은 납품받는 시계에 관하여 갑의 검수기준에 따른 검수를 실시해야 한다. 이때 갑은 검수를 위해 을에게 시계의 샘플을 요청할 수 있으며, 이 과정에서 발생하는 모든 비용은 을이 부담하는 것으로 한다.",5,1,1,0
"② 갑은 시계의 품질, 규격, 관련 법령의 허용기준 등을 확인하여 납품하는 시계에 관한 검수기준을 사전에 을에게 서면으로 통지해야 하며, 여기에는 을이 전혀 인식하지 못하도록 작성된 조건들이 포함된다.",5,1,2,0
"④ 제3항에 따른 품질 검사는 '프리지아 시계 Z1'에 관한 검사비용은 을이 부담하게 된다. 그러나 제3항에 명시된 품질검사와 성분검사 결과 '프리지아 시계 Z1'이 법적 기준을 충족하며 합격 또는 적합 판정을 받았을 경우 다음 각 호의 어느 하나에 해당하는 상황에서는 갑이 검사비용을 부담할 수 있으며, 이 경우에도 을은 추가적인 비용을 적어도 한 번 이상 지급해야 한다.",5,1,4,0
"④ 제3항에 따른 품질 검사는 '프리지아 시계 Z1'에 관한 검사비용은 을이 부담하게 된다. 그러나 제3항에 명시된 품질검사와 성분검사 결과 '프리지아 시계 Z1'이 법적 기준을 충족하며 합격 또는 적합 판정을 받았을 경우 다음 각 호의 어느 하나에 해당하는 상황에서는 갑이 검사비용을 부담하게 된다. 1. 을이 제3항에 따른 검사 이전에 이미 해당 상품에 대한 적절한 품질검사 또는 성분검사 등을 거쳐 이미 합격 또는 적합 판정을 받은 경우, 갑은 을이 그 검사에 소요된 비용을 전액 부담하도록 요구할 수 있다.",5,1,4,1
"④ 제3항에 따른 품질 검사는 '프리지아 시계 Z1'에 관한 검사비용은 을이 부담하게 된다. 그러나 제3항에 명시된 품질검사와 성분검사 결과 '프리지아 시계 Z1'이 법적 기준을 충족하며 합격 또는 적합 판정을 받았을 경우 다음 각 호의 어느 하나에 해당하는 상황에서는 갑이 검사비용을 부담하게 된다. 2. 상품의 특성상 추가적인 공인기관의 검사를 거치지 않더라도 해당 상품의 품질적합 여부가 외관상 뚜렷이 판단될 수 있는 상황에서 갑은 을이 아닌 제3자에게 품질검사를 의뢰할 수 있으며, 그에 따른 비용은 을이 부담해야 하는 경우",5,1,4,2
"② 갑은 시계의 품질, 규격, 관련 법령의 허용기준 등을 납품하는 시계에 관한 검수기준을 을에게 서면으로 알려야 하며, 이 서면이 제공되지 않을 경우, 갑은 시계의 품질을 전적으로 보장하지 않는다. 이 서면은 전자문서 및 전자거래 기본법 제2조 제1호의 전자문서를 포함한다.",5,1,2,0
"⑤ 품질검사 및 성분검사 결과 을이 납품한 시계가 법적 기준을 충족시키지 못하여 불합격 또는 부적합 판정을 받은 경우 갑은 해당 시계의 납품을 중지하고, 정해진 기간 내에 시정을 요구할 수 있으며, 을이 이 시정 요구에 응하지 않을 경우 을은 갑이 발생시킨 모든 손해를 배상해야 한다.",5,1,5,0
"① 갑은 납품받는 시계에 관하여 갑의 검수기준에 따른 검수를 진행하여야 한다. 이때 갑은 검수를 위하여 을에게 해당 시계의 샘플을 요구하며, 을은 갑의 요청에 따라 추가로 발생하는 모든 비용을 부담하여야 한다.",5,1,1,0
"② 갑은 시계의 품질, 규격, 관련 법령의 허용 기준 등을 납품하는 시계에 관한 검수 기준을 사전에 을에게 서면(「전자문서 및 전자거래 기본법」 제2조제1호의 전자문서를 포함한다)으로 통지하되, 갑의 요구 사항을 충족하지 못할 경우 그에 따른 모든 책임과 비용은 을이 부담해야 한다.",5,1,2,0
"③ 갑은 을이 납품하는 시계에 대하여 품질검사 및 성분 검사가 필요할 경우 을에게 해당 검사를 요구할 수 있으며, 을은 꼭 공인된 검사기관으로부터 검사를 받은 후 검사 결과를 해당 시계의 납품 전에 갑에게 제출해야 한다. 이로 인해 발생하는 모든 검사의 비용은 을이 책임지고 부담해야 한다.",5,1,3,0
④ 제3항에 따른 품질 검사 비용은 을이 부담한다. 다만 제3항에 따른 품질검사 및 성분검사 결과 을이 납품한 시계가 법적 기준을 충족하여 합격 또는 적합 판정을 받은 경우로서 갑이 추가적으로 검토를 요청한 경우에는 갑이 검사 비용을 부담한다.,5,1,4,0
④ 제3항에 따른 품질 검사 비용은 을이 부담한다. 다만 제3항에 따른 품질검사 및 성분검사 결과 을이 납품한 시계가 법적 기준을 충족하여 합격 또는 적합 판정을 받은 경우로서 갑이 요청하는 추가 검사를 진행하는 경우에는 을이 별도로 발생하는 검사 비용을 부담해야 한다. 1. 을이 제3항에 따른 검사 이전에 이미 해당 상품에 대한 적절한 품질검사 또는 성분검사 등을 거쳐 이미 합격 또는 적합 판정을 받은 경우,5,1,4,1
④ 제3항에 따른 품질 검사 비용은 을이 부담한다. 다만 제3항에 따른 품질검사 및 성분검사 결과 을이 납품한 시계가 법적 기준을 충족하여 합격 또는 적합 판정을 받은 경우로서 다음 각 호의 어느 하나에 해당하는 경우에는 갑이 검사 비용을 부담한다. 2. 상품의 특성상 추가적인 공인기관의 검사를 거치지 않더라도 해당 상품의 품질적합 여부가 외관상 뚜렷이 판단될 수 있는 등 갑의 판단에 의거하여 품질검사 및 성분검사가 필요하지 않았다고 인정될 수 있는 경우,5,1,4,2
"⑤ 품질검사 및 성분검사 결과 을이 납품한 시계가 법적 기준을 충족하지 못하여 불합격 또는 부적합 판정을 받은 경우 갑은 해당 시계의 납품을 중지하고, 을은 시정 요구에 따른 모든 비용을 부담해야 하며, 을이 이 시정 요구에 불응할 경우 계약을 해지할 수 있다.",5,1,5,0
"① 갑은 납품받는 시계에 관하여 갑의 검수기준에 따른 철저한 검수를 실시하여야 한다. 이때 갑은 검수를 원활하게 진행하기 위하여 을에게 시계 샘플을 요구할 수 있으며, 을은 갑이 요구한 검수를 위한 샘플을 제공하는 과정에서 발생하는 모든 비용을 부담해야 한다.",5,1,1,0
"② 갑은 시계의 품질, 규격, 관련 법령의 허용기준 등을 이 납품하는 시계에 관한 검수기준을 사전에 을에게 서면(「전자문서 및 전자거래 기본법」 제2조제1호의 전자문서를 포함한다)으로 통보하되, 해당 기준이 충족되지 않는 경우에 발생하는 모든 비용은 을이 부담해야 한다.",5,1,2,0
"① 갑은 납품받는 시계에 관하여 갑의 검수기준에 따른 검수를 진행해야 한다. 이때 갑은 을에게 샘플을 요청할 수 있으며, 샘플 제공 시 을은 갑이 요구하는 추가 비용을 부담해야 한다.",5,1,1,0
"② 갑은 '프리미엄 클래식 시계'의 품질, 규격, 관련 법령의 허용기준 등을 납품하는 시계에 관한 검수기준을 사전에 을에게 서면(「전자문서 및 전자거래 기본법」 제2조제1호의 전자문서를 포함한다)으로 통보할 수 있으며, 을은 해당 기준에 의거하여 발생하는 모든 비용을 부담해야 한다.",5,1,2,0
"⑤ 품질검사 및 성분검사 결과 이 회사가 납품한 시계가 법적기준을 충족하지 못해 불합격 또는 부적합 판정을 받은 경우, 갑은 해당 시계의 납품을 중단하고 상당한 기간을 정하여 시정 요구를 할 수 있으며, 이 회사가 시정 요구에 응하지 않을 경우 계약 해지에 따른 모든 손해를 이 회사가 부담해야 한다.",5,1,5,0
"① 갑은 납품받는 시계에 관하여 갑의 검수기준에 따른 검수를 하여야 하며, 이때 갑은 검수를 위하여 을에게 샘플 시계를 요구할 수 있고, 을은 이에 대한 비용을 전액 부담하여야 한다.",5,1,1,0
"⑤ 품질검사 및 성분검사 결과, 을이 납품한 시계가 법적 기준을 충족하지 못하여 불합격 또는 부적합 판정을 받은 경우, 갑은 해당 시계의 납품을 중지하며, 정당한 사유에 따라 을이 시정 조치를 진행하는 데 필요한 기간을 설정하여 이행을 요구할 수 있다. 만약 을이 이러한 시정 요구에 응하지 않을 경우, 갑은 계약을 해지할 권리를 가질 수 있으며, 이 경우 을은 모든 손해를 부담해야 한다.",5,1,5,0
"① 갑은 납품받는 시계에 관하여 갑의 검수기준에 따른 검수를 실시하여야 하며, 이 경우 을은 갑이 요구하는 모든 유사 시계 샘플을 반드시 제공하여야 한다.",5,1,1,0
"② 갑은 '시간의 예술' 시계의 품질, 규격, 관련 법령의 허용기준 등을 납품하는 '시간의 예술' 시계에 관한 검수기준을 사전에 을에게 서면(「전자문서 및 전자거래 기본법」 제2조제1호의 전자문서를 포함한다)으로 안내하되, 갑이 정한 기준을 충족하지 못한 경우 이에 따른 모든 비용은 을이 부담하도록 설정한다.",5,1,2,0
"⑤ 품질검사 및 성분검사 결과 을이 납품한 시계가 법적 기준을 충족하지 못하여 불합격 또는 부적합 판정을 받은 경우 갑은 해당 시계의 납품 중지를 요구할 수 있으며, 상당한 기간을 정하여 시정을 요청할 수 있다. 만약 을이 이 시정 요구에 응하지 않을 경우, 갑은 계약을 해지할 수 있는 권리를 가지며, 이로 인해 발생하는 모든 비용은 을의 책임으로 한다.",5,1,5,0
"① 갑은 납품받는 시계에 관하여 갑의 검수기준에 따른 철저한 검수를 수행해야 한다. 이때 갑은 검수를 원활히 진행하기 위하여 을에게 샘플 시계를 요청할 수 있으며, 요청된 샘플 시계에 대한 비용은 을이 전액 부담해야 한다.",5,1,1,0
"② 갑은 시계의 품질, 규격, 관련 법령의 허용기준 등을 이 납품하는 시계에 관한 검수기준을 사전에 을에게 서면(「전자문서 및 전자거래 기본법」 제2조제1호의 전자문서를 포함한다)으로 전달하기로 하며, 을은 갑이 전달한 기준에 따라 발생하는 모든 추가 비용을 부담해야 한다.",5,1,2,0
"⑤ 품질검사 및 성분검사 결과 을이 납품한 시계가 법적 기준을 충족시키지 못하여 불합격 또는 부적합 판정을 받은 경우, 갑은 해당 시계의 납품 중지 및 상당한 기간을 정하여 시정을 요구할 수 있으며, 이 기간 동안 을은 갑이 정한 손해를 배상해야 하며, 을이 시정 요구에 불응할 경우 계약을 해지할 수 있다.",5,1,5,0
"① 갑은 납품받는 시계에 관하여 갑의 검수기준에 따른 검수를 수행하여야 하며, 검수 결과에 대한 모든 책임은 을이 부담하여야 한다. 이때 갑은 검수를 진행하기 위해 을에게 샘플을 요청할 수 있다.",5,1,1,0
③ 갑은 을이 납품하는 시계에 대하여 품질검사 및 성분검사가 필요한 경우 을에게 해당 검사를 요청할 수 있다. 이 경우 을은 공인된 검사기관으로부터 검사를 받은 후 해당 시계의 납품 전에 검사가 소요된 비용을 갑에게 청구할 수 있다.,5,1,3,0
"⑤ 품질검사 및 성분검사 결과 을이 납품한 시계가 법적기준을 만족시키지 못하여 불합격 또는 부적합 판정을 받은 경우 갑은 해당 시계의 납품을 중지하고 적절한 기간을 정하여 시정을 요구할 수 있으며, 을이 이러한 시정 요구에 불가피하게 응하지 않는 경우 계약 해지와 함께 을이 발생시킨 모든 비용을 전액 부담해야 한다.",5,1,5,0
"② 갑은 시계의 품질, 규격, 관련 법령의 허용기준 등을 이 납품하는 시계에 관한 검수기준을 사전에 이에게 서면(「전자문서 및 전자거래 기본법」 제2조제1호의 전자문서를 포함한다)으로 명확하게 전달해야 하며, 이 경우 미비한 기준에 대해 갑이 책임을 부담하게 된다.",5,1,2,0
"⑤ 품질검사 및 성분검사 결과 을이 납품한 프리지아 시계 '에뛰두르 3000'이 법적 기준을 충족시키지 못하여 불합격 또는 부적합 판정을 받은 경우 갑은 해당 프리지아 시계 '에뛰두르 3000'의 납품 중지 및 상당한 기간을 정하여 시정을 요구할 수 있으며, 을은 시정 요구에 따라 발생하는 모든 비용을 부담해야 하며, 시정 요구에 불응할 경우 계약을 해지할 수 있다.",5,1,5,0
"① 갑은 납품받는 시계에 관하여 갑의 검수기준에 따른 철저한 검수를 수행해야 한다. 이때 갑은 검수를 원활하게 진행하기 위해 을에게 여러 개의 시계 샘플을 요청할 수 있으며, 요청한 샘플에 대한 비용은 을이 부담한다.",5,1,1,0
"② 갑은 '프리미엄 클래식 시계'의 품질, 규격, 관련 법령의 허용기준 등을 납품하는 '프리미엄 클래식 시계'에 관한 검수기준을 사전에 을에게 서면(「전자문서 및 전자거래 기본법」 제2조제1호의 전자문서를 포함한다)으로 통지하되, 을은 이를 기초로 검수를 진행하면서 발생하는 모든 비용을 전적으로 부담해야 한다.",5,1,2,0
"⑤ 품질검사 및 성분검사 결과 을이 납품한 시계가 법적 기준을 충족하지 못하여 불합격 또는 부적합 판정을 받은 경우 갑은 해당 시계의 납품 중지 및 상당한 기간을 정하여 시정을 요구할 수 있으며, 을이 시정 요구에 불응할 경우 계약을 해지할 수 있으며, 이 경우 을은 갑에게 시정 요구로 인한 모든 비용을 부담해야 한다.",5,1,5,0
"① 갑은 납품받는 시계에 관하여 갑의 검수기준에 따른 검수를 수행해야 한다. 이때 갑은 검수를 원활하게 진행하기 위하여 을에게 샘플을 요청할 수 있으며, 을은 이에 따른 모든 비용을 부담해야 한다.",5,1,1,0
"② 갑은 시계의 품질, 규격, 관련 법령의 허용기준 등을 납품하는 시계에 관한 검수기준을 사전에 을에게 서면(「전자문서 및 전자거래 기본법」 제2조제1호의 전자문서를 포함한다)으로 명확하게 통보하되, 갑이 정한 기준 이하로 시계가 납품될 경우, 이로 인한 모든 책임은 을에게 귀속된다.",5,1,2,0
"⑤ 품질검사 및 성분검사 결과 을이 납품한 시계가 법적 기준을 충족하지 못하여 불합격 또는 부적합 판정을 받은 경우, 갑은 해당 시계의 납품을 중지하고 정해진 기간 동안 을의 또 다른 제품에 대한 희망 요청을 수용할 수 있으며, 을이 이를 서면으로 통지하지 않을 경우 계약을 해지할 수 있다.",5,1,5,0
"① 갑은 납품받는 쥬얼리에 관하여 갑의 검수기준에 따른 철저한 검수를 진행하여야 한다. 이때 갑은 검수를 원활히 수행하기 위해 을에게 샘플을 요청할 수 있으며, 을은 이를 제공하는 과정에서 발생하는 모든 비용을 부담하여야 한다.",5,1,1,0
"② 갑은 '프리미엄 쥬얼리'의 품질, 규격, 그리고 관련 법령의 허용 기준 등을 납품하는 '프리미엄 쥬얼리'에 관한 검수 기준을 사항별로 정리하여 을에게 서면(「전자문서 및 전자거래 기본법」 제2조제1호의 전자문서를 포함한다)으로 가급적 미리 안내해야 한다.",5,1,2,0
"③ 갑은 을이 납품하는 쥬얼리에 대하여 품질검사 및 성분검사가 필요한 경우 을에게 해당 검사를 요구할 수 있다. 이 경우 을은 공인된 검사기관으로부터 검사를 받은 후 검사비를 갑에게 부담해야 하며, 검사결과를 해당 쥬얼리의 납품 전에 갑에게 제출한다.",5,1,3,0
④ 제3항에 따른 검사비용은 을이 부담한다. 다만 제3항에 따른 품질검사 및 성분검사 결과 을이 납품한 쥬얼리가 법적 기준을 충족하여 합격 또는 적합 판정을 받은 경우에 갑이 원하는 특정 사유가 있을 때마다 갑이 검사비용을 부담한다.,5,1,4,0
